record_id,stage,reviewer,inclusion_decision,exclusion_reason,notes,date
CANON-00259,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu học máy dự đoán kết quả chức năng sau đột quỵ tại Việt Nam và Indonesia, chỉ báo cáo độ chính xác chẩn đoán lâm sàng.",2026-08-02
CANON-00260,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu KAP về kiến thức, thái độ, ứng dụng thực hành và nhận thức đạo đức AI của sinh viên điều dưỡng tại ĐH Y Dược TP.HCM.",2026-08-02
CANON-00262,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu khảo sát việc sử dụng ChatGPT, các yếu tố ảnh hưởng, rủi ro đạo đức học thuật và ý thức tuân thủ của sinh viên Đại học Y Hà Nội.",2026-08-02
CANON-00266,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu triển khai thực chứng và kiểm định lâm sàng hệ thống AI đọc X-quang ngực tại Việt Nam, phân tích khả năng tích hợp quy trình bác sĩ.",2026-08-02
CANON-00267,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Protocol khả thi/adherence app AI gamified cho dinh dưỡng thanh thiếu niên (Ghana+VN), không phân tích quản trị đạo đức.",2026-08-02
CANON-00269,FULL_TEXT,LOC_DANG,EXCLUDE,EX01_NOT_VIETNAM,"Bài về công bằng y tế toàn cầu & AI âm thanh phổi, không phân tích bối cảnh Việt Nam cụ thể.",2026-08-02
CANON-00277,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật đặc trưng giọng nói (VN/NB) phân loại trầm cảm, chỉ báo cáo hiệu năng.",2026-08-02
CANON-00278,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Hệ thống ML hỗ trợ chẩn đoán tiểu đường, chỉ báo cáo độ chính xác kỹ thuật.",2026-08-02
CANON-00281,FULL_TEXT,LOC_DANG,EXCLUDE,EX01_NOT_VIETNAM,Khảo sát sinh viên y về AI/robot và cải cách chương trình; cần xác nhận bối cảnh Việt Nam (tiêu đề không ghi).,2026-08-02
CANON-00282,FULL_TEXT,LOC_DANG,EXCLUDE,EX02_NOT_HEALTHCARE,Phương pháp đại số & LLM trích xuất luật ẩn trong dữ liệu cho cải thiện GenAI; không chuyên biệt y tế.,2026-08-02
CANON-00283,FULL_TEXT,LOC_DANG,INCLUDE,,"Đánh giá mức độ sẵn sàng AI của hệ thống thông tin y tế Việt Nam: quản trị, thể chế, đạo đức.",2026-08-02
CANON-00287,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Dự đoán tử vong nhiễm trùng huyết bằng thiết bị đeo, chỉ báo cáo hiệu năng mô hình (LMIC).",2026-08-02
CANON-00288,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Phân loại mức độ uốn ván bằng cảm biến đeo, kỹ thuật, không có quản trị/đạo đức.",2026-08-02
CANON-00290,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu triển khai CAD X-quang ngực tại bệnh viện tuyến huyện VN: tích hợp quy trình lâm sàng, kiểm soát chất lượng.",2026-08-02
CANON-00294,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,Số hóa ECG 12 chuyển đạo & chuẩn hóa WFDB từ dữ liệu VN; kỹ thuật thuần túy.,2026-08-02
CANON-00297,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,Thiết kế & kiểm định app mHealth sàng lọc màu sắc; chỉ báo cáo tính năng kỹ thuật.,2026-08-02
CANON-00299,FULL_TEXT,LOC_DANG,INCLUDE,,Chuẩn bị Nipah/COVID ở nước thu nhập thấp: tái trung tâm điểm quyết định & AI có trách nhiệm; cần xác nhận phần Việt Nam.,2026-08-02
CANON-00303,FULL_TEXT,LOC_DANG,INCLUDE,,Sàng lọc võng mạc tiểu đường tại cộng đồng Bình Định VN: hiệu quả triển khai thực tế & an toàn; xác nhận phần đạo đức/quản trị.,2026-08-02
CANON-00304,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Tập dữ liệu/benchmark QA sức khỏe tâm thần tiếng Việt; kỹ thuật, không phân tích quản trị.",2026-08-02
CANON-00305,FULL_TEXT,LOC_DANG,EXCLUDE,EX02_NOT_HEALTHCARE,"AI cho phát triển bền vững Đông Nam Á trung bình; không chuyên biệt y tế, không tập trung Việt Nam.",2026-08-02
CANON-00307,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,Dự đoán rủi ro tim mạch bằng cảm biến đeo + ML; chỉ báo cáo hiệu năng kỹ thuật.,2026-08-02
CANON-00310,FULL_TEXT,LOC_DANG,EXCLUDE,EX02_NOT_HEALTHCARE,Nghiên cứu thực nghiệm phương pháp truy xuất tin tiếng Việt qua nhiều lĩnh vực; không chuyên y tế.,2026-08-02
CANON-00312,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Tóm tắt lời nói hội thoại y khoa thời gian thực; kỹ thuật NLP/LLM, không quản trị/đạo đức.",2026-08-02
CANON-00313,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Benchmark NLP cảm xúc cho y tế; kỹ thuật, không phân tích đạo đức/quản trị.",2026-08-02
CANON-00314,FULL_TEXT,LOC_DANG,EXCLUDE,EX02_NOT_HEALTHCARE,"Mô hình ML về ô nhiễm không khí/hệ sinh thái và ung thư phổi tại VN; trọng tâm môi trường, không chuyên sâu y tế (phù hợp R1 LOC=EX02).",2026-08-02
CANON-00315,FULL_TEXT,LOC_DANG,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,Bản arXiv trùng lặp với CANON-00237/00245 (dịch tóm tắt y khoa); không thêm dữ liệu mới.,2026-08-02
CANON-00317,FULL_TEXT,LOC_DANG,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,Bản arXiv trùng lặp với CANON-00014/00040 (ViHERMES QA quy định y tế VN); không thêm dữ liệu mới.,2026-08-02
CANON-00319,FULL_TEXT,LOC_DANG,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,Bản arXiv trùng lặp với CANON-00018 (Enterprise AI Agent pre-deployment assurance); không thêm dữ liệu mới.,2026-08-02
CANON-00320,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Benchmark Neurai-VN mô hình ML phenotyping tâm thần; kỹ thuật, không có quản trị/đạo đức.",2026-08-02
CANON-00321,FULL_TEXT,LOC_DANG,EXCLUDE,EX03_NO_AI,Khung năng lực điều dưỡng tổng hợp chuẩn quốc gia VN; tiêu đề không đề cập AI - xác nhận nếu có nội dung AI thì xem lại.,2026-08-02
CANON-00322,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,Dự đoán mất dấu HIV bằng học sâu + phân tích sống còn tại TP.HCM; chỉ báo cáo hiệu năng mô hình.,2026-08-02
CANON-00324,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,Mô hình AI nhận diện hưng cảm dựa trên giọng nói (kết quả sơ bộ); kỹ thuật chẩn đoán.,2026-08-02
CANON-00335,FULL_TEXT,LOC_DANG,INCLUDE,,"Thách thức pháp lý AI liên quan quyền bệnh nhân - bài học cho sinh viên y khoa VN: đạo đức, trách nhiệm pháp lý.",2026-08-02
CANON-00336,FULL_TEXT,LOC_DANG,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,"Trùng lặp nội dung với CANON-00335 (cùng tiêu đề, Zenodo 20007942) - giữ 00335 làm bản đại diện.",2026-08-02
CANON-00344,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Chưng cất/hiệu chỉnh mô hình sàng lọc tiền sản tại Miền Bắc VN; kỹ thuật tối ưu, explainability như kỹ thuật không phải quản trị.",2026-08-02
CANON-00356,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,Học sâu chẩn đoán viêm phổi qua X-quang; chỉ báo cáo độ chính xác kỹ thuật.,2026-08-02
CANON-00357,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Đánh giá công cụ dịch AI cho hướng dẫn xuất viện cấp cứu; kỹ thuật dịch thuật, không phân tích chính sách.",2026-08-02
CANON-00358,FULL_TEXT,LOC_DANG,EXCLUDE,EX01_NOT_VIETNAM,Ý định giáo viên tiểu học áp dụng AI trong giáo dục sức khỏe sinh sản (TAM); không ghi bối cảnh Việt Nam - xác nhận.,2026-08-02
CANON-00359,FULL_TEXT,LOC_DANG,INCLUDE,,Sàng lọc AI cho trẻ tự kỷ tại BV Nhi Can Thơ VN: triển khai lâm sàng tại bệnh viện; xác nhận phần đạo đức/an toàn bệnh nhân.,2026-08-02
CANON-00360,FULL_TEXT,LOC_DANG,EXCLUDE,EX01_NOT_VIETNAM,"Phân tích thư mục (bibliometric) về HCAI Đông Nam Á 2015-2025; phạm vi khu vực, không tập trung y tế/Việt Nam.",2026-08-02
CANON-00365,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Scoping review mô hình ML dự đoán tái nhập viện tim mạch người lớn tuổi; kỹ thuật, không quản trị.",2026-08-02
CANON-00366,FULL_TEXT,LOC_DANG,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,Bản figshare v3 trùng lặp với CANON-00365.,2026-08-02
CANON-00367,FULL_TEXT,LOC_DANG,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,Bản figshare v4 trùng lặp với CANON-00365.,2026-08-02
CANON-00370,FULL_TEXT,LOC_DANG,INCLUDE,,KAP về AI của sinh viên các ngành y tế - hàm ý cho sự sẵn sàng AI; xác nhận bối cảnh Việt Nam (tbjmp).,2026-08-02
CANON-00372,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,Bài toán cảnh/mô tả hành trình phát triển BV Thống Nhất thành trung tâm lão khoa kỹ thuật cao; không có phân tích đạo đức/quản trị AI kiểm chứng được.,2026-08-02
CANON-00374,FULL_TEXT,LOC_DANG,INCLUDE,,"Ứng dụng AI trong y tế và thách thức pháp lý: nghiên cứu tại Việt Nam về đạo đức, trách nhiệm, quản trị.",2026-08-02
CANON-00375,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Công cụ LLM đánh giá năng lực nhân viên y tế tại VN; thực nghiệm kỹ thuật kiểm định, không phân tích quản trị.",2026-08-02
CANON-00378,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Anomaly detection/AI thống kê trong sản xuất + y tế; kỹ thuật tổng hợp, không chuyên sâu quản trị y tế.",2026-08-02
CANON-00382,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,Mô hình ML dự đoán cân nặng sơ sinh (đơn thai) tại VN; chỉ báo cáo hiệu năng chẩn đoán.,2026-08-02
CANON-00383,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nomogram ML dự đoán sốc dengue ở trẻ em VN; kỹ thuật chẩn đoán, không có quản trị/đạo đức.",2026-08-02
